code,name,start_date,end_date,no,version
BVB-IOS2019,Ios Island,2019-06-14,2019-06-16,807,10370.0
BVB-ALB2019,Alba Adriatica,2019-07-12,2019-07-14,808,10451.0
BVB-PIN2019,Pinarella Di Cervia,2019-07-25,2019-07-28,809,10670.0
BVB-CCR1B19,CEV Continental Cup Phase 1 - Pool B ,2019-05-25,2019-05-26,817,10342.0
CEV-BVB-U182019,CEV U18 ECH - Baden,2019-06-12,2019-06-16,820,1.0
VB-AF-SAL2019,1st African Beach Games - Cape Verde - 2019,2019-06-19,2019-06-23,822,1.0
BVB-JUR2019,Jurmala Open,2019-08-22,2019-08-25,825,10821.0
BVB-QIN2019,Qinzhou Open,2019-10-30,2019-11-03,827,11034.0
BVB-QAT2019,Aspire Beach Volleyball Cup Doha,2019-11-12,2019-11-15,828,11027.0
BVB-CHE2019,Chetumal Open,2019-11-13,2019-11-17,829,11724.0
BVB-BUD2019,Budapest,2019-08-08,2019-08-11,830,10761.0
BVB-OSL2019,Oslo,2019-08-28,2019-09-01,831,10840.0
BVB-MON2019,Montpellier,2019-08-27,2019-08-31,832,11523.0
CEV-BVB-ECH2019,2019 CEV European Championships,2019-08-06,2019-08-11,833,10749.0
BVB-AF-AAG2019,12th All African Games,2019-08-16,2019-08-23,836,1.0
BVB-TOR2019,Bandar Torkaman,2019-10-01,2019-10-04,838,11022.0
BVB-MBG2019,2019 Mediterranean Games,2019-08-27,2019-08-29,840,10929.0
BVB-ANOC-BEACH-2019,BVB 4x4 ANOC WORLD BEACH GAMES 2019 ,2019-10-12,2019-10-16,845,1.0
BVB-TEL2019,Tel Aviv,2019-11-07,2019-11-09,846,11114.0
BVB-QES2020,Qeshm,2020-01-07,2020-01-10,848,11273.0
BVB-COK2020,Cook Islands,2020-01-14,2020-01-17,849,11263.0
BVB-BAN2020,Bandar Abbas (POSTPONED),2020-03-03,2020-03-07,850,11382.0
BVB-SIE2020,Siem Reap,2020-02-06,2020-02-09,851,11350.0
BVB-PHN2020,Phnom Penh,2020-02-20,2020-02-23,852,11380.0
BVB-GUA2020,Guam,2020-03-05,2020-03-08,853,11412.0
BVB-SYD2020,"Coolangatta Beach, Gold Coast (Cancelled) ",2020-03-18,2020-03-22,854,11637.0
BVB-VIS2020,Visakhapatnam,2020-02-27,2020-03-01,855,1.0
BVB-ARG2020,Argentina (Canceled),2020-03-05,2020-03-08,856,11214.0
BVB-DOH2020,Doha,2020-03-09,2020-03-13,857,11436.0
BVB-LAN2020,Langkawi,2020-03-12,2020-03-15,858,11494.0
BVB-CAN2020,Cancun (Cancelled for 2020),2020-03-25,2020-03-29,859,11648.0
BVB-MAN2020,Boracay (Cancelled) ,2020-03-26,2020-03-29,860,11483.0
BVB-SAT2020,Satun (Postponed_Date TBD),2020-04-08,2020-04-11,861,11493.0
BVB-SIN2020,Singapore (Canceled) ,2020-04-15,2020-04-19,862,11353.0
BVB-YAN2020,Yangzhou (Cancelled),2020-04-22,2020-04-26,863,11635.0
BVB-XIA2020,Siming (Canceled),2020-04-29,2020-05-03,864,11385.0
BVB-ITA2020,Itapema (Cancelled),2020-05-06,2020-05-10,865,11509.0
BVB-JUR2020,Jurmala (cancelled),2020-05-06,2020-05-10,866,11636.0
BVB-TUA2020,Tuan Chau Island (Postponed_Date TBD),2020-05-06,2020-05-09,867,11486.0
BVB-JIN2020,Jinjiang (Canceled) ,2020-05-13,2020-05-17,868,11487.0
BVB-OST2020,Ostrava (Cancelled),2020-05-20,2020-05-24,869,11638.0
BVB-WAR2020,Warsaw (Canceled),2020-05-27,2020-05-31,870,11502.0
BVB-MOS2020,Moscow (Cancelled),2020-06-03,2020-06-07,871,11506.0
BVB-ROM2020,Rome (Cancelled),2020-06-09,2020-06-14,872,11510.0
BVB-MIG2020,Miguel Pereira (Cancelled),2020-06-11,2020-06-14,873,11639.0
BVB-LAO2020,Ventiane (Cancelled),2020-06-18,2020-06-21,874,11641.0
BVB-GST2020,Gstaad (Cancelled),2020-07-07,2020-07-12,875,11514.0
BVB-QID2020,Qidong (Cancelled),2020-07-09,2020-07-12,876,11515.0
BVB-DAE2020,Daegu (Cancelled),2020-07-09,2020-07-12,877,11642.0
BVB-ESP2020,Espinho (Cancelled),2020-07-15,2020-07-19,878,11517.0
BVB-BUY2020,Buyeo (Cancelled),2020-07-30,2020-08-02,879,11518.0
BVB-BUS2020,Busan (Cancelled),2020-08-06,2020-08-09,880,11519.0
BVB-VIE2020,Vienna (Cancelled),2020-08-11,2020-08-16,881,11520.0
BVB-HAM2020,Hamburg (Cancelled),2020-08-19,2020-08-23,882,11521.0
BVB-SAL2020,Salalah (Cancelled),2020-08-19,2020-08-22,883,11522.0
BVB-RUB2020,Rubavu,2020-08-19,2020-08-22,884,11634.0
BVB-OG2020,Olympic Games 2020,2021-07-23,2021-08-08,945,12353.0
BVB-RAJ2020,Raja Ampat (Cancelled),2020-06-11,2020-06-14,950,11640.0
BVB-IOS2020,Ios Island (Cancelled),2020-06-12,2020-06-14,951,11512.0
BVB-KLA2020,Klaipėda (Cancelled),2020-07-02,2020-07-05,952,11647.0
BVB-LAR2020,Larnaka (Cancelled),2020-09-25,2020-09-27,953,11643.0
BVB-MON2020,Montpellier,2020-08-25,2020-08-29,954,11623.0
BVB-BET2020,Bettystown (Cancelled),2020-07-17,2020-07-19,955,11646.0
BVB-SON2020,Sonderborg (Cancelled),2020-08-20,2020-08-22,956,11644.0
BVB-VAD2020,Vaduz (Cancelled),2020-08-05,2020-08-09,957,11645.0
BVB-LJU2020,Ljubljana,2020-07-30,2020-08-02,958,11900.0
BVB-MKOTC2020,King of the Court - Utrecht 2020,2020-09-09,2020-09-12,960,11591.0
BVB-BAD2020,Baden 2020,2020-08-20,2020-08-23,962,11988.0
BVB-VIL2020,Vilnius 2020,2020-09-10,2020-09-13,963,11626.0
CEV-BVB-U202020,CEV U20 ECH - Brno,2020-09-10,2020-09-13,1008,11627.0
CEV-BVB-U182020,CEV U18 ECH - Izmir,2020-09-17,2020-09-20,1009,1.0
CEV-BVB-U222020,CEV U22 ECH - Izmir,2020-09-24,2020-09-27,1010,1.0
CEV-BVB-ECH2020,"2020 CEV EuroBeachVolley Championships - Jurmala, Latvia",2020-09-15,2020-09-20,1011,11633.0
BVB-QAT2021,Doha 1 Star,2021-02-22,2021-02-26,1012,11718.0
BVB-DOH2021,Katara Cup,2021-03-08,2021-03-12,1013,11961.0
BVB-CAN2021,Cancun Hub - 1st event,2021-04-16,2021-04-20,1014,11972.0
BVB-MEX2021,Cancun Hub - 2nd event,2021-04-22,2021-04-26,1015,11907.0
BVB-CUN2021,Cancun Hub - 3rd event,2021-04-28,2021-05-02,1016,11908.0
BVB-SOF2021,Sofia Beach Open 1,2021-05-20,2021-05-23,1017,11905.0
BVB-SOC2021,FIVB Beach Volleyball World Tour Sochi,2021-05-26,2021-05-30,1018,12012.0
BVB-PRA2021,Prague,2021-08-19,2021-08-23,1019,12449.0
BVB-CZE2021,J&T Banka Ostrava Beach Open 2021,2021-06-02,2021-06-06,1020,12149.0
BVB-SFI2021,Sofia Beach Open 2,2021-06-10,2021-06-13,1021,12061.0
BVB-GST2021,FIVB Beach Volleyball World Tour Gstaad,2021-07-06,2021-07-11,1022,12267.0
BVB-RUB2021,FIVB Beach Volleyball World Tour Rubavu,2021-07-14,2021-07-18,1023,12306.0
BVB-LEU2021,Leuven,2021-07-15,2021-07-18,1024,12310.0
BVB-MSFA2021,Sofia Beach Open 3 - Men,2021-07-15,2021-07-18,1025,12308.0
BVB-LJU2021,Ljubljana,2021-07-29,2021-08-01,1027,12294.0
BVB-SOI2021,Sofia Beach Open 4,2021-08-05,2021-08-08,1028,12377.0
BVB-ITA2021,"World Tour Finals - Cagliari, Sardinia, Italy",2021-10-06,2021-10-10,1029,12620.0
BVB-U192021,FIVB Under 19 Beach World Championship,2021-12-06,2021-12-11,1030,12661.0
BVB-MON2021,Montpellier,2021-08-25,2021-08-29,1038,12483.0
BVB-BRN2021,Brno,2021-08-26,2021-08-29,1039,12476.0
BVB-CER2021,Cervia,2021-09-09,2021-09-12,1040,12535.0
BVB-MAD2021,Madrid,2021-09-16,2021-09-19,1041,12541.0
BVB-U212021,FIVB Under 21 Beach World Championship,2021-12-14,2021-12-19,1042,12667.0
CEV-BVB-CCR2A20,"CEV Continental Cup Phase 2 - Izmir, Turkey",2021-05-06,2021-05-09,1043,11932.0
CEV-BVB-CCR2B20,"CEV Continental Cup Phase 2 - Madrid, Spain",2021-05-06,2021-05-09,1044,11933.0
CEV-BVB-CCR2C20,"CEV Continental Cup Phase 2 - Baden, Austria",2021-05-06,2021-05-09,1045,11959.0
CEV-BVB-U222021,"CEV U22 ECH - Badem, Austria",2021-05-13,2021-05-16,1046,11999.0
BVB-BUD2021,Budapest,2021-08-19,2021-08-22,1047,12440.0
BVB-COT2021,Cortegaça,2021-08-12,2021-08-15,1048,12418.0
BVB-KOR2021,Koropove,2021-09-02,2021-09-05,1049,12409.0
BVB-CEV-CCFINAL2021,CEV Beach Volleyball Continental Cup Final 2021,2021-06-26,2021-06-26,1050,12247.0
BVB-CAVB-CCPHASE2,CAVB Continental Cup 2021 - 2nd Phase,2021-06-22,2021-06-24,1051,12237.0
BVB-WSFA2021,Sofia Beach Open 3 - Women,2021-07-22,2021-07-25,1052,12219.0
BVB-NORCECA-CCFINAL2,CEV Beach Volleyball Continental Cup Final 2021,2021-06-25,2021-06-27,1053,12248.0
BVB-CAVB-CCFINAL2021,CAVB Continental Cup 2021 - Final,2021-06-25,2021-06-27,1054,12244.0
BVB-APE2021,Apeldoorn,2021-09-09,2021-09-12,1056,12568.0
BVB-NIJ2021,Nijmegen,2021-09-15,2021-09-19,1057,12596.0
CEV-BVB-ECH2021,CEV European Championships - Vienna,2021-08-11,2021-08-15,1058,12410.0
BVB-WAR2021,Warsaw,2021-09-02,2021-09-05,1060,12543.0
CEV-BVB-U182021,CEV U18 ECH - Ljubljana,2021-09-01,2021-09-05,1065,12500.0
BVB-ITP2021,Itapema,2021-11-10,2021-11-14,1071,12656.0
BVB-TLA2022,Tlaxcala,2022-03-16,2022-03-20,1079,12760.0
BVB-ROS2022,Rosarito,2022-03-23,2022-03-27,1080,12765.0
BVB-ACU2022,Mexico (TBC),2022-03-31,2022-04-03,1081,12671.0
BVB-CAP2022,Cape Town,2022-11-02,2022-11-06,1082,13196.0
BVB-ITA2022,Itapema,2022-04-14,2022-04-17,1083,12850.0
BVB-RIO2022,Uberlandia,2022-11-09,2022-11-13,1084,13199.0
BVB-MMAD2022,2022 VW Beach Pro Tour Futures - Madrid,2022-05-12,2022-05-15,1085,12873.0
BVB-RHO2022,2022 VW Beach Pro Tour Futures - Rhodes,2022-05-19,2022-05-22,1086,12864.0
BVB-OST2022,Ostrava,2022-05-25,2022-05-29,1087,12875.0
BVB-JUR2022,Jurmala,2022-06-01,2022-06-05,1088,12885.0
BVB-ROM2022,Rome World Championships,2022-06-10,2022-06-19,1089,12917.0
BVB-IOS2022,2022 VW Beach Pro Tour Futures - Ios,2022-06-29,2022-07-02,1090,12743.0
BVB-GST2022,Gstaad,2022-07-06,2022-07-10,1091,12964.0
BVB-LJU2022,2022 VW Beach Pro Tour Futures - Ljubljana,2022-07-28,2022-07-31,1092,13005.0
BVB-BIR2022,Birmingham 2022 Commonwealth Games,2022-07-30,2022-08-07,1093,13001.0
BVB-HAM2022,Hamburg,2022-08-10,2022-08-14,1094,13040.0
BVB-BAD2022,2022 VW Beach Pro Tour Futures - Baden,2022-08-25,2022-08-28,1095,13108.0
BVB-PAR2022,Paris,2022-09-28,2022-10-02,1096,13157.0
BVB-RED2022,Red Sea,2022-11-17,2022-11-20,1097,13180.0
BVB-MDV2022,Maldives,2022-10-13,2022-10-16,1098,13178.0
BVB-AS12022,Dubai 1st,2022-10-22,2022-10-25,1099,13183.0
BVB-AS22022,Dubai 2nd,2022-10-27,2022-10-30,1100,13184.0
BVB-AUS2022,Torquay,2022-11-23,2022-11-27,1101,13203.0
BVB-SYD2022,Torquay,2022-11-29,2022-12-03,1102,13207.0
BVB-WMAD2022,2022 VW Beach Pro Tour Futures - Madrid,2022-05-19,2022-05-22,1103,13456.0
BVB-SUB2022,Subic Bay,2022-12-08,2022-12-11,1104,13227.0
BVB-COOlG22,Coolangatta,2022-03-30,2022-04-03,1106,12777.0
BVB-SON2022,Songkhla,2022-04-14,2022-04-17,1107,12829.0
BVB-MDOA2022,Doha,2022-05-05,2022-05-08,1108,12855.0
BVB-AYI2022,Kusadasi,2022-05-19,2022-05-22,1109,12872.0
BVB-ESP2022,Espinho,2022-07-14,2022-07-17,1110,12975.0
BVB-AGA2022,"Agadir, Morocco",2022-07-21,2022-07-24,1111,12981.0
BVB-CER2022,2022 VW Beach Pro Tour Futures - Cervia,2022-05-26,2022-05-29,1130,12883.0
BVB-KLA2022,2022 VW Beach Pro Tour Futures - Klaipeda,2022-06-02,2022-06-05,1131,12747.0
BVB-ALI2022,2022 VW Beach Pro Tour Futures - Balıkesir,2022-06-16,2022-06-19,1132,12951.0
BVB-BIA2022,2022 VW Beach Pro Tour Futures - Bialystok,2022-06-23,2022-06-26,1133,12954.0
BVB-GIA2022,2022 VW Beach Pro Tour Futures - Giardini Naxos,2022-06-30,2022-07-03,1134,12750.0
BVB-MAR2022,2022 VW Beach Pro Tour Futures - Lecce,2022-07-07,2022-07-10,1135,12756.0
BVB-CIR2022,2022 VW Beach Pro Tour Futures - Ciro Marina,2022-07-14,2022-07-17,1136,12752.0
BVB-WAR2022,2022 VW Beach Pro Tour Futures - Warsaw,2022-07-21,2022-07-24,1137,12984.0
BVB-BUD2022,2022 VW Beach Pro Tour Futures - Budapest,2022-08-11,2022-08-14,1138,13039.0
BVB-COR2022,2022 VW Beach Pro Tour Futures - Cortegaça,2022-08-11,2022-08-14,1139,13044.0
BVB-LEU2022,2022 VW Beach Pro Tour Futures - Leuven,2022-07-21,2022-07-24,1141,12987.0
BVB-MYS2022,2022 VW Beach Pro Tour Futures - Myslowice,2022-07-28,2022-07-31,1142,12995.0
BVB-MMON2022,2022 VW Beach Pro Tour Futures - Montpellier,2022-08-24,2022-08-28,1143,13109.0
BVB-WWRS2022,2022 VW Beach Pro Tour Futures - Warsaw,2022-09-01,2022-09-04,1144,13107.0
BVB-HAG2022,2022 VW Beach Pro Tour Futures - The Hague,2022-12-27,2022-12-30,1145,13273.0
BVB-U192022,FIVB Under 19 Beach World Championship,2022-09-14,2022-09-18,1146,13140.0
BVB-AQA2022,Aqaba rescheduled,2022-06-22,2022-06-26,1147,12852.0
CEV-BVB-U222022,CEV U22 ECH - Vlissingen,2022-06-08,2022-06-12,1156,12931.0
CEV-BVB-U202022,CEV U20 ECH - Izmir,2022-07-14,2022-07-17,1157,12862.0
CEV-BVB-U182022,CEV U18 ECH - Loutraki,2022-09-01,2022-09-04,1158,13116.0
CEV-INN2022,MEVZA Zonal Event in Innsbruck (AUT),2022-06-02,2022-06-05,1160,12894.0
BVB-DAE2022,Daegu,2022-07-14,2022-07-17,1162,12976.0
CEV-BVB-ECH2022,CEV European Championships - Münich,2022-08-15,2022-08-21,1163,13055.0
CEV-BVB-NCUP22,A1 CEV Beach Volley Nations Cup Vienna 2022,2022-08-02,2022-08-07,1164,13022.0
CAVB-BVB-CAVBC22,African Beach Volleyball Championships 2022 - Agadir,2022-07-27,2022-08-01,1174,13003.0
BVB-OMA2022,Sohar,2022-11-01,2022-11-04,1177,13117.0
BVB-NT-AUT2022,Austrian Beach Volleyball Championships 2022 - Baden,2022-09-02,2022-09-04,1184,13132.0
CAVB-BVB-GAM2022,CAVB Zonal Tour zone 2,2022-09-02,2022-09-04,1186,13131.0
VB-WVNL2023,Volleyball Nations League 2023 - Women,2023-07-12,2023-07-16,1212,13508.0
BVB-BPTF2022,Doha Beach Pro Tour Finals 2022,2023-01-26,2023-01-29,1223,13326.0
BVB-U192023,FIVB Under 21 Beach World Championship,2023-11-07,2023-11-12,1253,13879.0
BVB-BPT2023,BPT Season 2023,2023-02-01,2023-12-10,1259,13492.0
BVB-AVC-SAM2023,AVC Beach Tour Samila Open,2023-04-14,2023-04-17,1260,13431.0
BVB-WBG2023,ANOC World Beach Games 2023,2023-08-06,2023-08-12,1272,13453.0
BVB-MMAD2023,BPT Futures Madrid,2023-05-11,2023-05-14,1273,13457.0
BVB-WMAD2023,BPT Futures Madrid,2023-05-18,2023-05-21,1274,13497.0
BVB-CER2023,BPT Futures Cervia,2023-09-21,2023-09-24,1275,13815.0
BVB-LEC2023,BPT Futures Lecce,2023-06-08,2023-06-11,1276,13460.0
BVB-SPI2023,BPT Futures Spiez,2023-06-08,2023-06-11,1277,13574.0
BVB-LIL2023,BPT Futures Lille,2023-06-15,2023-06-18,1278,13580.0
BVB-IOS2023,BPT Futures Ios,2023-06-21,2023-06-24,1279,13582.0
BVB-HEL2023,BPT Futures Helsinki,2023-06-29,2023-07-02,1280,13464.0
BVB-MES2023,BPT Futures Messina,2023-06-29,2023-07-02,1281,13465.0
BVB-LEU2023,BPT Futures Leuven,2023-07-13,2023-07-16,1282,13598.0
BVB-WAR2023,BPT Futures Warsaw,2023-08-10,2023-08-13,1283,13686.0
BVB-BAD2023,BPT Futures Baden,2023-08-23,2023-08-27,1284,13748.0
BVB-BRN2023,BPT Futures Brno,2023-08-24,2023-08-27,1285,13751.0
BVB-MON2023,BPT Futures Montpellier,2023-08-30,2023-09-03,1286,13786.0
BVB-COR2023,BPT Futures Corigliano Rossano,2023-08-31,2023-09-03,1287,13787.0
BVB-MWRS2023,"BPT Futures Warsaw, Wilanow",2023-08-31,2023-09-03,1288,13771.0
BVB-NC23-SUI,Beach Volley Nations Cup - Gstaad (SUI),2023-05-12,2023-05-13,1289,13473.0
BVB-NC23-ESP,Beach Volley Nations Cup - Madrid (ESP),2023-05-15,2023-05-16,1290,13474.0
BVB-NC23-NED,Beach Volley Nations Cup - Apeldoorn (NED),2023-05-17,2023-05-18,1291,13475.0
BVB-NC23-SCO,Beach Volley Nations Cup - Ayr (SCO),2023-05-20,2023-05-21,1292,13507.0
BVB-NC23-GRE,Beach Volley Nations Cup - Heraklion (GRE),2023-05-25,2023-05-27,1293,13518.0
BVB-NC23-FIN,Beach Volley Nations Cup - Vantaa (FIN),2023-05-26,2023-05-27,1294,13520.0
BVB-NC23-ISR,Beach Volley Nations Cup - Netanya (ISR),2023-05-26,2023-05-27,1295,13528.0
BVB-NC23-SVK,Beach Volley Nations Cup - Bratislava (SVK),2023-05-27,2023-05-28,1296,13527.0
BVB-NC23-NOR,Beach Volley Nations Cup - Lillesand (NOR),2023-06-06,2023-06-08,1297,13556.0
BVB-NC23-HUN,Beach Volley Nations Cup - Budapest (HUN),2023-06-10,2023-06-11,1298,13575.0
BVB-AVC-CCCAM23,AVC Continental Cup - SEA Zone,2023-05-11,2023-05-16,1301,13489.0
CEV-BVB-MIRE2023,WEVZA Zonal Event - Île de Ré,2023-05-11,2023-05-14,1304,13491.0
BVB-AVC-CHN2023,AVC 2023 Asian Senior,2023-06-23,2023-06-26,1310,13586.0
BVB-AVC-AU2123,Asian U21 Beach Volleyball Championships,2023-07-13,2023-07-16,1314,13599.0
CEV-BVB-U222023,CEV BVB U22 ECH 2023,2023-07-25,2023-07-29,1317,13641.0
CEV-BVB-KRA2023,CEV MEVZA Zonal Event - Kranj,2023-07-26,2023-07-29,1318,13605.0
CEV-BVB-ECH2023,CEV European Championships  2023,2023-08-02,2023-08-06,1320,13677.0
CEV-BVB-U202023,CEV BVB U20 ECH 2023,2023-08-16,2023-08-20,1321,13696.0
CEV-BVB-U182023,CEV BVB U18 ECH 2023,2023-08-24,2023-08-27,1322,13643.0
BVB-HAL2023,BPT Futures Halifax,2023-09-21,2023-09-24,1323,13808.0
BVB-CWYG23,2023 COMMONWEALTH YOUTH GAMES,2023-08-05,2023-08-10,1324,13678.0
BVB-AVC-PEN2023,AVC Beach Tour Penghu Open,2023-08-17,2023-08-20,1330,13724.0
BVB-WWRS2023,"BPT Futures Warsaw, Wilanow",2023-09-07,2023-09-10,1340,13791.0
BVB-CAVB-MARCT01,CAVB U21 Nations Championship Casablanca ,2023-08-27,2023-08-30,1341,13768.0
BVB-AUT-NT04,Austrian Beachvolleyball Tour Pro Baden 2023,2023-09-01,2023-09-03,1342,13788.0
BVB-AVC-CCCHN2023,AVC Continental Cup 2023 - Eastern Zone,2023-08-31,2023-09-02,1343,13784.0
BVB-AVC-VAN2023,AVC Continental Cup 2023 - Oceania Zone,2023-09-01,2023-09-05,1344,13777.0
BVB-GEE2023,BPT Futures Geelong,2023-11-22,2023-11-26,1346,13900.0
BVB-AVC-BAN2023,AVC Continental Cup - Central Zone,2023-09-08,2023-09-11,1347,13793.0
BVB-MEDGAME2023,Mediterranean Beach Games - Heraklion 2023,2023-09-13,2023-09-16,1348,13802.0
BVB-JOA2023,BPT Elite16 João Pessoa ,2023-11-22,2023-11-26,1354,13902.0
BVB-WMAL2023,BPT Futures Mallorca,2023-10-18,2023-10-22,1357,13860.0
BVB-MMAL2023,BPT Futures Mallorca,2023-10-25,2023-10-29,1358,13860.0
BVB-NO-PANG2023,Pan American Games 2023 - Beach Volleyball,2023-10-21,2023-10-27,1361,13873.0
BVB-CAVB-CAVBCP2,CAVB Zone 2 Continental Olympic Qualifier,2023-11-24,2023-11-26,1364,13903.0
BVB-AVC-ZTOZVA,Pacific Games 2023,2023-11-28,2023-12-02,1365,13913.0
CAVB-BVB-ZONE7-COM,Zone 7 QT CCUP Road to Paris / QT AAG 2024,2024-01-22,2024-01-23,1384,13935.0
